date,fraction_time_elapsed,fraction_PDM_spent
2025-11-26,0.1554,0.0992
2025-12-12,0.2050,0.1390
2025-12-19,0.2250,0.1550
2026-01-02,0.2500,0.1660
2026-01-16,0.2900,0.1980
2026-01-23,0.3094,0.2186
2026-01-30,0.3294,0.2348
2026-02-09,0.3494,0.2541
2026-02-16,0.3694,0.2659
2026-02-24,0.3894,0.2843
2026-03-06,0.4298,0.3171
2026-03-13,0.4500,0.3431
2026-03-20,0.4700,0.3710
2026-03-27,0.4900,0.3940
2026-04-03,0.5110,0.4250
2026-04-10,0.5300,0.4500
2026-04-17,0.5500,0.5120
2026-04-25,0.5700,0.5650
2026-05-15,0.6310,0.6560
2026-05-27,0.6508,0.6838


